date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
1/1/2015,0:53:52,349001,3.1.2,x86_64,mingw32,gsubfn,0.6-6,US,10
1/1/2015,0:53:52,64521,3.1.2,x86_64,mingw32,gtable,0.1.2,US,10
1/1/2015,0:53:53,388355,3.1.2,x86_64,mingw32,httr,0.6.0,US,10
1/1/2015,0:53:53,234416,3.1.2,x86_64,mingw32,installr,0.15.3,US,10
1/1/2015,0:53:55,927671,3.1.2,x86_64,mingw32,jsonlite,0.9.14,US,10
1/1/2015,0:53:55,41396,3.1.2,x86_64,mingw32,labeling,0.3,US,10
1/1/2015,0:53:57,1085041,3.1.2,x86_64,mingw32,MASS,7.3-35,US,10
1/1/2015,0:53:57,17371,3.1.2,x86_64,mingw32,memoise,0.2.1,US,10
1/1/2015,0:53:57,35507,3.1.2,x86_64,mingw32,mime,0.2,US,10
1/1/2015,0:53:58,126157,3.1.2,x86_64,mingw32,munsell,0.4.2,US,10
1/1/2015,0:54:00,1150916,3.1.2,x86_64,mingw32,plyr,1.8.1,US,10
1/1/2015,0:54:00,459039,3.1.2,x86_64,mingw32,proto,0.3-10,US,10
1/1/2015,0:54:01,123775,3.1.2,x86_64,mingw32,R6,2.0.1,US,10
1/1/2015,0:54:01,27200,3.1.2,x86_64,mingw32,RColorBrewer,1.1-2,US,10
1/1/2015,0:54:05,3029833,3.1.2,x86_64,mingw32,Rcpp,0.11.3,US,10
1/1/2015,0:54:08,2704439,3.1.2,x86_64,mingw32,RCurl,1.95-4.5,US,10
1/1/2015,0:54:08,128070,3.1.1,x86_64,mingw32,reshape,0.8.5,US,10
1/1/2015,0:54:09,499334,3.1.1,x86_64,mingw32,reshape2,1.4.1,US,10
1/1/2015,0:54:10,1211852,3.1.2,x86_64,darwin13.4.0,RSQLite,1.0.0,US,10
1/1/2015,0:54:11,16650,3.1.0,x86_64,darwin13.1.0,rstudioapi,0.1,US,10
1/1/2015,0:54:11,152316,3.1.0,x86_64,darwin13.1.0,scales,0.2.4,US,10
1/1/2015,0:54:11,30487,3.1.2,x86_64,mingw32,sendmailR,1.2-1,US,10
1/1/2015,0:54:12,112063,3.1.2,x86_64,mingw32,slam,0.1-32,US,10
1/1/2015,0:54:12,72189,3.1.2,x86_64,mingw32,sqldf,0.4-10,US,10
1/1/2015,0:54:12,75610,3.1.2,x86_64,mingw32,stringr,0.6.2,US,10
1/1/2015,0:54:08,230169,3.1.2,x86_64,mingw32,caTools,1.17.1,US,13
1/1/2015,0:54:06,180600,3.1.0,x86_64,mingw32,yaml,2.1.13,US,13
1/1/2015,0:54:16,2661927,3.1.0,x86_64,darwin13.1.0,ggplot2,1.0.0,CA,14
1/1/2015,0:54:26,43432,3.1.0,x86_64,darwin13.1.0,lazyeval,0.1.9,HK,15
1/1/2015,0:54:28,3871416,3.1.2,x86_64,darwin13.4.0,dplyr,0.3.0.2,HK,15
1/1/2015,0:54:20,44831,NA,NA,NA,BayesVarSel,1.3,FR,16
1/1/2015,0:54:20,20553,NA,NA,NA,fastcluster,1.0.2,FR,3
1/1/2015,0:54:32,206392,NA,NA,NA,Rcpp,0.6.3,FR,17
1/1/2015,0:53:46,2975489,NA,NA,NA,plotKML,0.4-8,CN,9
1/1/2015,0:53:48,515,NA,NA,NA,plotMCMC,2.0-0,CN,9
1/1/2015,0:54:08,1004245,NA,NA,NA,plotMCMC,2.0-0,CN,9
1/1/2015,0:54:10,514,NA,NA,NA,plotROC,1.2,CN,9
1/1/2015,0:54:24,609556,NA,NA,NA,plotROC,1.2,CN,9
1/1/2015,0:54:26,514,NA,NA,NA,plotSEMM,2,CN,9
1/1/2015,0:54:33,450263,NA,NA,NA,plotSEMM,2,CN,9
1/1/2015,0:54:34,514,NA,NA,NA,plotmo,2.2.0,CN,9
1/1/2015,0:54:13,698539,3.1.0,x86_64,mingw32,tm,0.6,US,10
1/1/2015,0:54:14,65235,3.1.0,x86_64,mingw32,whisker,0.3-2,US,10
1/1/2015,0:54:15,467269,3.1.0,x86_64,mingw32,wordcloud,2.5,US,10
1/1/2015,0:54:19,4290400,3.1.0,x86_64,mingw32,XML,3.98-1.1,US,10
1/1/2015,0:54:20,879103,3.1.0,x86_64,mingw32,zoo,1.7-11,US,10
1/1/2015,0:54:44,507622,3.1.0,x86_64,mingw32,rpart.plot,1.5.1,US,1
1/1/2015,0:54:25,148006,3.1.0,x86_64,mingw32,magrittr,1.5,HK,15
1/1/2015,0:54:26,154182,3.1.1,x86_64,mingw32,DBI,0.3.1,HK,15
1/1/2015,0:54:36,216031,3.1.2,x86_64,linux-gnu,mvtnorm,1.0-2,US,18
1/1/2015,0:54:25,111125,3.1.2,x86_64,linux-gnu,R6,2.0.1,HK,15
1/1/2015,0:54:56,1582738,3.1.0,x86_64,mingw32,XML,3.98-1.1,US,2
1/1/2015,0:55:01,180595,3.1.2,x86_64,linux-gnu,yaml,2.1.13,US,19
1/1/2015,0:55:10,781886,3.0.2,x86_64,darwin10.8.0,pROC,1.7.3,US,1
1/1/2015,0:54:37,3330122,3.1.2,x86_64,mingw32,rattle,3.4.1,US,20
1/1/2015,0:55:21,570059,3.1.2,x86_64,mingw32,sjPlot,1.6.5,US,21
1/1/2015,0:55:10,33445,NA,NA,NA,ordinal,2011.08-12,FR,22
1/1/2015,0:55:01,86281,3.1.2,x86_64,mingw32,htmltools,0.2.6,US,19
1/1/2015,0:54:56,35502,3.1.2,x86_64,mingw32,mime,0.2,US,19
1/1/2015,0:54:57,39242,3.1.2,x86_64,mingw32,evaluate,0.5.5,US,19
1/1/2015,0:54:58,164900,3.1.2,x86_64,mingw32,markdown,0.7.4,US,19
1/1/2015,0:55:23,128070,3.1.2,i386,mingw32,reshape,0.8.5,US,1
1/1/2015,0:55:31,2550885,3.1.0,x86_64,mingw32,mclust,4.4,US,1
1/1/2015,0:55:32,1408391,3.1.0,x86_64,mingw32,flexmix,2.3-12,US,1
1/1/2015,0:55:33,279934,3.1.0,x86_64,mingw32,prabclus,2.2-4,US,1
1/1/2015,0:55:34,162944,3.1.0,x86_64,mingw32,diptest,0.75-6,US,1
1/1/2015,0:55:35,2051163,3.1.0,x86_64,mingw32,kernlab,0.9-19,US,1
1/1/2015,0:55:35,16382,3.1.2,i386,mingw32,trimcluster,0.1-2,US,1
1/1/2015,0:55:36,435122,3.0.2,x86_64,linux-gnu,fpc,2.1-9,US,1
1/1/2015,0:54:36,276759,NA,NA,NA,plotmo,2.2.0,CN,9
1/1/2015,0:54:38,512,NA,NA,NA,plotpc,1.0.3,CN,9
1/1/2015,0:54:38,514,NA,NA,NA,plotrix,3.5-10,CN,9
1/1/2015,0:54:39,514,NA,NA,NA,plsRbeta,0.2.0,CN,9
1/1/2015,0:54:42,166297,NA,NA,NA,plsRbeta,0.2.0,CN,9
1/1/2015,0:54:43,514,NA,NA,NA,plsRcox,1.7.2,CN,9
1/1/2015,0:54:49,313696,NA,NA,NA,plsRcox,1.7.2,CN,9
1/1/2015,0:54:52,516,NA,NA,NA,plsRglm,1.1.1,CN,9
1/1/2015,0:55:35,1850230,NA,NA,NA,plsRglm,1.1.1,CN,9
1/1/2015,0:55:37,514,NA,NA,NA,pls,2.4-3,CN,9
1/1/2015,0:54:07,86286,3.1.1,x86_64,mingw32,htmltools,0.2.6,US,13
1/1/2015,0:55:36,231397,3.1.1,x86_64,mingw32,boot,1.3-13,US,2
1/1/2015,0:56:00,23665,3.1.1,x86_64,mingw32,R.methodsS3,1.6.1,US,2
1/1/2015,0:56:06,384459,3.0.2,x86_64,linux-gnu,rggobi,2.1.20,US,1
1/1/2015,0:56:01,110300,3.0.2,x86_64,linux-gnu,matrixStats,0.12.2,US,2
1/1/2015,0:56:10,3176058,3.0.2,x86_64,darwin10.8.0,psych,1.4.8.11,US,23
1/1/2015,0:56:05,14621,NA,NA,NA,TraMineR,1.8-3,FR,17
1/1/2015,0:56:19,57223,3.1.1,x86_64,mingw32,KRLS,0.3-7,US,24
1/1/2015,0:55:52,282963,3.1.1,x86_64,mingw32,TTR,0.22-0,US,25
1/1/2015,0:56:05,662595,3.1.2,x86_64,mingw32,xts,0.9-7,US,25
1/1/2015,0:56:07,456487,3.1.2,x86_64,mingw32,quantmod,0.4-3,US,25
1/1/2015,0:56:14,3058136,3.1.1,x86_64,mingw32,DMwR,0.4.1,US,25
1/1/2015,0:54:58,51065,3.1.1,x86_64,mingw32,formatR,1,US,19
1/1/2015,0:55:02,36535,3.1.0,x86_64,mingw32,bitops,1.0-6,US,19
1/1/2015,0:56:35,1496733,3.1.2,x86_64,mingw32,sp,1.0-16,US,26
1/1/2015,0:56:28,804219,3.1.2,x86_64,mingw32,timeDate,3011.99,US,1
1/1/2015,0:56:28,1604152,3.1.1,x86_64,mingw32,timeSeries,3011.98,US,1
1/1/2015,0:56:29,869138,3.1.1,x86_64,mingw32,gss,2.1-4,US,1
1/1/2015,0:56:30,41594,3.1.1,x86_64,mingw32,stabledist,0.6-6,US,1
1/1/2015,0:56:30,1547446,3.1.1,x86_64,mingw32,fBasics,3011.87,US,1
1/1/2015,0:55:54,695634,NA,NA,NA,pls,2.4-3,CN,9
1/1/2015,0:55:56,514,NA,NA,NA,plsdepot,0.1.17,CN,9
1/1/2015,0:55:58,123502,NA,NA,NA,plsdepot,0.1.17,CN,9
1/1/2015,0:55:59,513,NA,NA,NA,plsdof,0.2-7,CN,9
1/1/2015,0:56:00,98613,NA,NA,NA,plsdof,0.2-7,CN,9
1/1/2015,0:56:02,516,NA,NA,NA,plsgenomics,1.2-6,CN,9
1/1/2015,0:56:31,1270949,NA,NA,NA,plsgenomics,1.2-6,CN,9
1/1/2015,0:56:33,514,NA,NA,NA,plspm,0.4.1,CN,9
1/1/2015,0:56:45,540429,NA,NA,NA,plspm,0.4.1,CN,9
1/1/2015,0:56:05,33445,NA,NA,NA,fAsianOptions,3010.79,SA,27
1/1/2015,0:56:44,13038951,3.1.1,x86_64,mingw32,rgdal,0.9-1,US,26
1/1/2015,0:56:17,165882,3.1.1,x86_64,mingw32,RMySQL,0.9-3,US,28
